Provider,Location,Device,Aggregate Date,Metric Type,Multi-Server Latency,Multi-Server Jitter,Download Speed Mbps,Upload Speed Mbps
All Providers Combined,Tajikistan,,Oct-20,median,,,13.53,10.19
All Providers Combined,Tajikistan,,Oct-20,mean,,,29.8,28.65
All Providers Combined,Uzbekistan,,Oct-20,median,,,17.13,18.54
All Providers Combined,Uzbekistan,,Oct-20,mean,,,29.68,30.08
All Providers Combined,Azerbaijan,,Nov-20,median,,,11.91,14.66
All Providers Combined,Azerbaijan,,Nov-20,mean,,,23.04,25.59
All Providers Combined,Armenia,,Nov-20,median,,,21.47,20.1
All Providers Combined,Armenia,,Nov-20,mean,,,30.75,28.11
All Providers Combined,Belarus,,Nov-20,median,,,38.77,34.77
All Providers Combined,Belarus,,Nov-20,mean,,,65.97,51.09
All Providers Combined,Kazakhstan,,Nov-20,median,,,24.9,24.3
All Providers Combined,Kazakhstan,,Nov-20,mean,,,50.71,48.15
All Providers Combined,Kyrgyzstan,,Nov-20,median,,,31.35,29.77
All Providers Combined,Kyrgyzstan,,Nov-20,mean,,,43.63,39.08
All Providers Combined,Russia,,Nov-20,median,,,50.94,56.25
All Providers Combined,Russia,,Nov-20,mean,,,79.21,83.53
All Providers Combined,Tajikistan,,Nov-20,median,,,20.91,22.13
All Providers Combined,Tajikistan,,Nov-20,mean,,,32.17,34.15
All Providers Combined,Uzbekistan,,Nov-20,median,,,18.4,19.31
All Providers Combined,Uzbekistan,,Nov-20,mean,,,32.39,32.55
All Providers Combined,Azerbaijan,,Dec-20,median,,,11.1,12.59
All Providers Combined,Azerbaijan,,Dec-20,mean,,,22.17,24.21
All Providers Combined,Armenia,,Dec-20,median,,,24.22,21.74
All Providers Combined,Armenia,,Dec-20,mean,,,33.38,30.96
All Providers Combined,Belarus,,Dec-20,median,,,40.23,36.23
All Providers Combined,Belarus,,Dec-20,mean,,,67.92,52.24
All Providers Combined,Kazakhstan,,Dec-20,median,,,25.73,25.73
All Providers Combined,Kazakhstan,,Dec-20,mean,,,52.41,49.99
All Providers Combined,Kyrgyzstan,,Dec-20,median,,,30.38,29.82
All Providers Combined,Kyrgyzstan,,Dec-20,mean,,,42.95,38.97
All Providers Combined,Russia,,Dec-20,median,,,51.84,58.01
All Providers Combined,Russia,,Dec-20,mean,,,80.86,85.29
All Providers Combined,Tajikistan,,Dec-20,median,,,20.71,21.14
