Provider,Location,Device,Aggregate Date,Technology Type,Metric Type,Multi-Server Latency,Multi-Server Jitter,Download Speed Mbps,Upload Speed Mbps
All Providers Combined,Kyrgyzstan,,Dec-20,cellular,mean,,,20.75,10.77
All Providers Combined,Russia,,Dec-20,cellular,median,,,15.48,7.22
All Providers Combined,Russia,,Dec-20,cellular,mean,,,24.24,10.41
All Providers Combined,Tajikistan,,Dec-20,cellular,median,,,6.65,3.49
All Providers Combined,Tajikistan,,Dec-20,cellular,mean,,,14.66,6.14
All Providers Combined,Uzbekistan,,Dec-20,cellular,median,,,8.65,4.86
All Providers Combined,Uzbekistan,,Dec-20,cellular,mean,,,12.66,7.4
All Providers Combined,Azerbaijan,,Jan-21,cellular,median,,,26.26,8.79
All Providers Combined,Azerbaijan,,Jan-21,cellular,mean,,,32.78,14.84
All Providers Combined,Armenia,,Jan-21,cellular,median,,,21.14,7.94
All Providers Combined,Armenia,,Jan-21,cellular,mean,,,32.91,12.41
All Providers Combined,Belarus,,Jan-21,cellular,median,,,10.07,4.43
All Providers Combined,Belarus,,Jan-21,cellular,mean,,,17.3,9.26
All Providers Combined,Kazakhstan,,Jan-21,cellular,median,,,12.16,6.31
All Providers Combined,Kazakhstan,,Jan-21,cellular,mean,,,20.15,10.04
All Providers Combined,Kyrgyzstan,,Jan-21,cellular,median,,,16.15,7.83
All Providers Combined,Kyrgyzstan,,Jan-21,cellular,mean,,,21.05,10.92
All Providers Combined,Russia,,Jan-21,cellular,median,,,15.15,6.92
All Providers Combined,Russia,,Jan-21,cellular,mean,,,23.91,10.18
All Providers Combined,Tajikistan,,Jan-21,cellular,median,,,5.56,2.39
All Providers Combined,Tajikistan,,Jan-21,cellular,mean,,,12.49,4.98
All Providers Combined,Uzbekistan,,Jan-21,cellular,median,,,8.79,4.97
All Providers Combined,Uzbekistan,,Jan-21,cellular,mean,,,12.94,7.64
All Providers Combined,Azerbaijan,,Feb-21,cellular,median,,,28.72,9.97
All Providers Combined,Azerbaijan,,Feb-21,cellular,mean,,,35.19,15.9
All Providers Combined,Armenia,,Feb-21,cellular,median,,,21.86,7.52
All Providers Combined,Armenia,,Feb-21,cellular,mean,,,32.5,11.97
All Providers Combined,Belarus,,Feb-21,cellular,median,,,9.64,4.66
