Date,Year,Month,Quarter,YearQuarter,YearMonth,Country,Provider,InternetType,MetricType,DownloadSpeed,UploadSpeed,Latency,Jitter,Device,Aggregate Date
2024-01-01T00:00:00Z,2024,1,1,2024-Q1,2024-01,Azerbaijan,All Providers Combined,Fixed,median,35.25,35.31,11,5.8875,NA,Jan-24
2024-02-01T00:00:00Z,2024,2,1,2024-Q1,2024-02,Azerbaijan,All Providers Combined,Fixed,mean,54.24,50.71,38,30,NA,Feb-24
2024-02-01T00:00:00Z,2024,2,1,2024-Q1,2024-02,Azerbaijan,All Providers Combined,Fixed,median,37.32,36.85,11,5.4263,NA,Feb-24
2024-03-01T00:00:00Z,2024,3,1,2024-Q1,2024-03,Azerbaijan,All Providers Combined,Fixed,mean,56.47,51.69,37,28,NA,Mar-24
2024-03-01T00:00:00Z,2024,3,1,2024-Q1,2024-03,Azerbaijan,All Providers Combined,Fixed,median,38.32,37.69,11.4123,5.7237,NA,Mar-24
2024-04-01T00:00:00Z,2024,4,2,2024-Q2,2024-04,Azerbaijan,All Providers Combined,Fixed,mean,58.87,54.28,34,27,NA,Apr-24
2024-04-01T00:00:00Z,2024,4,2,2024-Q2,2024-04,Azerbaijan,All Providers Combined,Fixed,median,39.24,39.54,10.3132,5.0955,NA,Apr-24
2024-05-01T00:00:00Z,2024,5,2,2024-Q2,2024-05,Azerbaijan,All Providers Combined,Fixed,mean,59,54.32,32,26,NA,May-24
2024-05-01T00:00:00Z,2024,5,2,2024-Q2,2024-05,Azerbaijan,All Providers Combined,Fixed,median,39.48,39.17,9.7778,4.7635,NA,May-24
2024-06-01T00:00:00Z,2024,6,2,2024-Q2,2024-06,Azerbaijan,All Providers Combined,Fixed,mean,60.37,55.46,29,24,NA,Jun-24
2024-06-01T00:00:00Z,2024,6,2,2024-Q2,2024-06,Azerbaijan,All Providers Combined,Fixed,median,40.21,40.11,8.9664,3.9465,NA,Jun-24
2024-07-01T00:00:00Z,2024,7,3,2024-Q3,2024-07,Azerbaijan,All Providers Combined,Fixed,mean,64.37,59.34,30,24,NA,Jul-24
2024-07-01T00:00:00Z,2024,7,3,2024-Q3,2024-07,Azerbaijan,All Providers Combined,Fixed,median,41.56,41.8,9.0926,3.9717,NA,Jul-24
2024-08-01T00:00:00Z,2024,8,3,2024-Q3,2024-08,Azerbaijan,All Providers Combined,Fixed,mean,71.35,66.01,27,22,NA,Aug-24
