Date,Year,Month,Quarter,YearQuarter,YearMonth,Country,Provider,InternetType,Technology,MetricType,DownloadSpeed,UploadSpeed,Latency,Jitter,Device,Aggregate Date
2025-03-01T00:00:00Z,2025,3,1,2025-Q1,2025-03,Azerbaijan,All Providers Combined,Cellular,cellular,median,65.57,18.02,32.6383,8.4559,NA,Mar-25
2025-04-01T00:00:00Z,2025,4,2,2025-Q2,2025-04,Azerbaijan,All Providers Combined,Cellular,cellular,mean,80.16,21.89,45,17,NA,Apr-25
2025-04-01T00:00:00Z,2025,4,2,2025-Q2,2025-04,Azerbaijan,All Providers Combined,Cellular,cellular,median,58.98,16.67,32.8898,8.6863,NA,Apr-25
2025-05-01T00:00:00Z,2025,5,2,2025-Q2,2025-05,Azerbaijan,All Providers Combined,Cellular,cellular,mean,83.3,22.13,47,18,NA,May-25
2025-05-01T00:00:00Z,2025,5,2,2025-Q2,2025-05,Azerbaijan,All Providers Combined,Cellular,cellular,median,61.51,16.77,33.1475,8.6955,NA,May-25
2025-06-01T00:00:00Z,2025,6,2,2025-Q2,2025-06,Azerbaijan,All Providers Combined,Cellular,cellular,mean,85.02,22.2,51,19,NA,Jun-25
2025-06-01T00:00:00Z,2025,6,2,2025-Q2,2025-06,Azerbaijan,All Providers Combined,Cellular,cellular,median,63.59,16.82,33.6032,8.7251,NA,Jun-25
2025-07-01T00:00:00Z,2025,7,3,2025-Q3,2025-07,Azerbaijan,All Providers Combined,Cellular,cellular,mean,88.47,22.74,51,19,NA,Jul-25
2025-07-01T00:00:00Z,2025,7,3,2025-Q3,2025-07,Azerbaijan,All Providers Combined,Cellular,cellular,median,65.87,17.6,33.2104,8.7086,NA,Jul-25
2025-08-01T00:00:00Z,2025,8,3,2025-Q3,2025-08,Azerbaijan,All Providers Combined,Cellular,cellular,mean,90.77,23.44,48,19,NA,Aug-25
2025-08-01T00:00:00Z,2025,8,3,2025-Q3,2025-08,Azerbaijan,All Providers Combined,Cellular,cellular,median,68.15,18.4,33.4934,8.5929,NA,Aug-25
2025-09-01T00:00:00Z,2025,9,3,2025-Q3,2025-09,Azerbaijan,All Providers Combined,Cellular,cellular,mean,88.75,23.75,47,19,NA,Sep-25
2025-09-01T00:00:00Z,2025,9,3,2025-Q3,2025-09,Azerbaijan,All Providers Combined,Cellular,cellular,median,69.82,19.36,33.071,8.7466,NA,Sep-25
