Date,Year,Month,Quarter,YearQuarter,YearMonth,Country,Provider,InternetType,MetricType,DownloadSpeed,UploadSpeed,Latency,Jitter,Device,Aggregate Date,Technology
2021-06-01T00:00:00Z,2021,6,2,2021-Q2,2021-06,Armenia,All Providers Combined,Cellular,median,19.92,5.64,NA,NA,NA,Jun-21,cellular
2021-06-01T00:00:00Z,2021,6,2,2021-Q2,2021-06,Armenia,All Providers Combined,Fixed,mean,35.94,32.8,NA,NA,NA,Jun-21,NA
2021-06-01T00:00:00Z,2021,6,2,2021-Q2,2021-06,Armenia,All Providers Combined,Fixed,median,26.37,22.01,NA,NA,NA,Jun-21,NA
2021-07-01T00:00:00Z,2021,7,3,2021-Q3,2021-07,Armenia,All Providers Combined,Cellular,mean,33.13,10.83,NA,NA,NA,Jul-21,cellular
2021-07-01T00:00:00Z,2021,7,3,2021-Q3,2021-07,Armenia,All Providers Combined,Cellular,median,20.98,5.91,NA,NA,NA,Jul-21,cellular
2021-07-01T00:00:00Z,2021,7,3,2021-Q3,2021-07,Armenia,All Providers Combined,Fixed,mean,36.25,33.2,NA,NA,NA,Jul-21,NA
2021-07-01T00:00:00Z,2021,7,3,2021-Q3,2021-07,Armenia,All Providers Combined,Fixed,median,26.37,21.83,NA,NA,NA,Jul-21,NA
2021-08-01T00:00:00Z,2021,8,3,2021-Q3,2021-08,Armenia,All Providers Combined,Cellular,mean,33.71,10.86,NA,NA,NA,Aug-21,cellular
2021-08-01T00:00:00Z,2021,8,3,2021-Q3,2021-08,Armenia,All Providers Combined,Cellular,median,20.97,6.34,NA,NA,NA,Aug-21,cellular
2021-08-01T00:00:00Z,2021,8,3,2021-Q3,2021-08,Armenia,All Providers Combined,Fixed,mean,37.21,33.77,NA,NA,NA,Aug-21,NA
2021-08-01T00:00:00Z,2021,8,3,2021-Q3,2021-08,Armenia,All Providers Combined,Fixed,median,26.7,22.3,NA,NA,NA,Aug-21,NA
2021-09-01T00:00:00Z,2021,9,3,2021-Q3,2021-09,Armenia,All Providers Combined,Cellular,mean,34.53,11.87,NA,NA,NA,Sep-21,cellular
